"name"	"category"	"light_rum"	"lemon_juice"	"lime_juice"	"sweet_vermouth"	"orange_juice"	"powdered_sugar"	"dark_rum"	"cranberry_juice"	"pineapple_juice"	"bourbon_whiskey"	"simple_syrup"	"cherry_flavored_brandy"	"light_cream"	"triple_sec"	"maraschino"	"amaretto"	"grenadine"	"apple_brandy"	"brandy"	"gin"	"anisette"	"dry_vermouth"	"apricot_flavored_brandy"	"bitters"	"straight_rye_whiskey"	"benedictine"	"egg_white"	"half_and_half"	"vodka"	"grapefruit_juice"	"blended_scotch_whiskey"	"port"	"white_creme_de_cacao"	"citrus_flavored_vodka"	"whole_egg"	"egg_yolk"	"blended_whiskey"	"dubonnet"	"blanco_tequila"	"old_mr_boston_dry_gin"
"87"	"Flying Dutchman"	"Cocktail Classics"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"88"	"Hoot Mon Cocktail"	"Whiskies"	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0
"89"	"Fifty-Fifty Cocktail"	"Cocktail Classics"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"90"	"Favorite Cocktail"	"Cocktail Classics"	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.75	0	0.75	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"91"	"Farmer's Cocktail"	"Cocktail Classics"	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.5	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"92"	"Warsaw Cocktail"	"Vodka"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0
"93"	"Emerald Isle Cocktail"	"Cocktail Classics"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"94"	"Du Barry Cocktail"	"Cocktail Classics"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0.5	0.75	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"95"	"Dry Martini (5-to-1)"	"Cocktail Classics"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"96"	"Dixie Cocktail"	"Cocktail Classics"	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"97"	"Delmonico No. 2"	"Cocktail Classics"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	1	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"98"	"Hole-In-One"	"Whiskies"	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.75	0	0.02	0	0	0	0	0	0	1.75	0	0	0	0	0	0	0	0	0
"99"	"Vodka Stinger"	"Vodka"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"100"	"Caruso"	"Cocktail Classics"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"101"	"Bulldog Highball"	"Cocktail Classics"	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"102"	"Brown Cocktail"	"Cocktail Classics"	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.75	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"103"	"Bronx Terrace Cocktail"	"Cocktail Classics"	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"104"	"Bronx Cocktail (Dry)"	"Cocktail Classics"	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"105"	"Blue Devil Cocktail"	"Cocktail Classics"	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"106"	"Blue Canary"	"Cocktail Classics"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.75	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
"107"	"Blue Bird"	"Cocktail Classics"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	1.5	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"108"	"Bloodhound Cocktail"	"Cocktail Classics"	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"109"	"Billy Taylor"	"Cocktail Classics"	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"110"	"Bijou Cocktail"	"Cocktail Classics"	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.75	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
